c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
17704,4,78.94939222,0,1205,1205,0,0,0,0,0,0,0,12669,0,120.168625,30.294125,8,4
39917,6,0,0,1187,1187,0,0,0,1157,541,0,0,13867,36,119.518837,25.959837,12,6
13188,9,75.19846417,0,1129,1129,1086,1129,44,0,0,0,110,12907,36,115.132248,27.214367,18,9
416855,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
52746,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
1889,6,73.14518711,0,1115,1115,0,0,0,0,0,0,20,11901,0,108.906976,34.246423,12,6
21874,4.5,0,0,1139,1139,0,0,0,0,0,0,15,12824,36,117.580116,28.953411,9,4
350,6.5,0,0,980,980,0,0,0,0,0,0,0,0,0,0,0,13,6
95951,5.5,0,0,963,0,0,0,0,993,0,996,0,0,0,0,0,11,5
97470,7,0,0,984,0,0,0,0,1014,0,1017,0,0,0,0,0,14,7
40205,7.5,0,0,1061,1061,0,0,0,0,0,0,0,0,0,0,0,15,7
46061,8,0,0,1283,1283,0,0,0,0,0,0,0,12753,36,121.1205978,28.84313202,16,8
19128,6.5,84.90923973,0,1193,1193,0,0,0,0,0,0,0,12669,36,119.4442902,32.20648956,13,6
17730,3.5,72.97226238,0,1028,1028,969,1043,75,0,0,0,4,11027,36,114.195343,34.107433,7,3
27264,8.5,50.03353033,41.12785983,1117,1117,1058,1128,71,0,0,0,110,12907,36,114.971275,27.103239,17,8
137753,8.5,0,0,0,0,0,0,0,0,0,0,0,12907,0,115.132248,27.214367,17,8
97632,7.5,0,0,1157,0,0,0,0,1187,0,1201,0,0,0,0,0,15,7
4133,7.5,40.19230983,0,1103,1103,0,0,0,1073,528,0,0,12669,165,119.814385,31.363638,15,7
137673,9.5,0,0,0,0,0,0,0,0,0,0,0,13867,0,117.483398,27.337692,19,9
49110,9.5,0,0,0,0,0,0,0,0,0,0,0,12824,0,118.1757736,29.78119087,19,9
37131,5,49.74331388,0,1132,1132,0,1132,0,0,0,0,0,12669,0,120.099312,30.864964,10,5
99211,6.5,0,0,959,0,0,0,0,989,0,991,0,0,0,0,0,13,6
29548,6,79.34552332,82.69326525,1154,1154,0,0,0,0,0,0,0,12214,36,111.216148,35.616409,12,6
15285,3.5,75.03050668,0,1112,1112,0,0,0,0,0,0,0,11141,36,119.106499,36.702705,7,3
51022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
24707,1,77.68827483,0,1137,1137,0,0,0,0,0,0,0,13425,94,106.105835,30.819111,2,1
8024,1.5,82.1430674,164.9988983,1144,1144,1085,1147,63,0,0,0,0,11901,36,111.217209,35.357723,3,1
432270,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
20379,3,44.81319387,0,1171,1171,0,0,55,0,0,0,0,13867,36,119.2296143,26.09373856,6,3
398412,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
7326,9,77.36413333,0,1054,1054,0,0,0,0,0,0,24,12433,165,119.177627,32.267544,18,9
52188,7.5,0,0,0,0,0,0,0,0,0,0,0,12753,0,121.026558,29.138258,15,7
1697,8,0,0,1086,1086,0,0,0,0,0,0,14,13867,0,118.589905,24.909641,16,8
136536,9.5,77.97302114,0,1250,1250,0,0,0,0,0,1256,0,12753,0,120.288155,28.143875,19,9
